C1
14.169
17.070
20.283
13.835
20.197
27.967
27.967
31.176
11.634
38.345
29.653
21.711
21.588
11.634
22.270
14.636
19.177
17.857
23.775
14.472
24.008
23.775
13.835
11.814
17.857
22.270
13.918
29.813
14.636
19.250
11.814
31.176
17.065
20.715
20.600
15.156
19.334
22.384
17.425
17.425
17.500
14.631
19.334
24.249
19.250
22.384
17.065
15.156
20.715
16.612
20.838
19.332
14.631
14.795
20.332
27.663
23.271
20.855
20.332
15.231
14.795
16.612
19.332
20.838
20.855
22.394
23.466
15.231
28.127
26.834
19.653
27.663
24.520
15.870
13.826
17.417
25.709
23.161
18.603
19.653
24.621
13.826
15.870
30.648
19.611
17.417
15.814
24.569
18.849
17.296
16.918
27.084
18.603
23.700
24.568
18.849
23.161
15.814
25.900
19.967
21.569
21.474
26.412
24.557
31.881
16.918
27.084
30.147
26.412
16.980
16.164
13.969
15.466
13.969
16.164
19.687
21.609
19.687
16.980
24.230
23.159
24.900
20.036
15.466
21.533
16.344
25.764
18.191
18.191
15.290
15.290
23.496
26.373
24.514
20.036
16.344
25.027
23.159
18.798
23.866
25.027
18.778
21.470
23.496
18.815
29.508
21.528
23.866
18.798
27.223
21.470
22.560
25.630
21.122
18.778
11.690
21.528
27.588
11.690
21.646
22.151
20.188
18.456
23.131
23.464
19.018
21.122
20.188
25.818
21.971
18.292
28.741
19.018
14.059
18.292
20.543
23.464
25.818
20.080
20.543
16.204
17.889
14.059
11.804
25.529
20.870
23.089
16.204
21.971
21.728
22.862
23.528
20.378
11.804
21.413
17.889
20.080
11.738
29.585
21.082
22.171
23.950
23.919
20.870
11.738
27.428
16.842
11.447
13.949
29.280
19.762
25.220
22.171
16.842
21.082
20.592
31.831
13.569
11.447
35.034
28.744
26.921
13.949
24.107
13.569
20.295
30.663
33.789
23.283
12.869
14.719
20.592
14.719
22.848
21.923
20.486
12.869
26.921
20.954
20.954
20.856
23.560
21.784
22.173
17.545
13.668
20.865
26.772
30.745
17.545
21.703
13.668
15.678
20.592
17.891
20.865
18.041
18.041
24.419
28.159
22.261
19.039
15.678
17.104
10.361
21.703
19.318
24.046
18.981
30.953
19.039
17.104
22.021
23.937
10.361
28.520
27.665
19.318
22.261
23.462
20.770
19.626
15.326
18.981
33.716
18.013
20.939
19.948
18.013
24.961
38.375
18.300
19.743
15.326
23.345
22.891
17.143
18.300
19.948
22.199
24.271
16.476
24.739
19.743
23.479
26.696
23.345
17.143
36.602
16.476
22.829
19.296
20.659
18.352
24.340
19.379
35.383
24.079
18.352
20.550
14.664
17.851
16.527
16.527
20.659
25.379
32.564
16.642
16.642
14.664
19.379
31.709
29.431
32.701
17.851
25.180
35.383
13.705
18.364
28.082
28.008
19.120
22.726
18.364
13.379
25.811
19.122
17.992
16.089
17.984
13.705
17.243
25.650
30.916
12.360
12.198
13.379
19.122
12.198
20.738
19.120
23.886
16.089
17.243
12.360
17.984
17.992
15.687
16.517
21.725
21.665
21.725
16.109
26.463
20.738
29.239
15.687
16.517
29.053
19.881
20.741
41.213
15.185
24.213
16.068
19.457
32.038
26.376
22.914
14.300
24.213
14.300
33.501
25.465
15.185
19.457
13.535
13.535
16.000
33.427
22.914
19.881
