 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1,spheres-3.tif,157,255,45.698,0.945,1.021,0.979,0.921
2,spheres-3.tif,155,255,45.698,0.933,1.016,0.985,0.914
3,spheres-3.tif,159,255,47.113,0.900,1.020,0.980,0.909
4,spheres-3.tif,125,255,40.042,0.980,1.059,0.944,0.940
5,spheres-3.tif,155,255,45.456,0.943,1.011,0.989,0.928
6,spheres-3.tif,154,255,44.870,0.961,1.004,0.996,0.928
7,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
8,spheres-3.tif,153,255,44.870,0.955,1.011,0.989,0.927
9,spheres-3.tif,152,255,44.870,0.949,1.034,0.968,0.924
10,spheres-3.tif,124,255,40.284,0.960,1.016,0.985,0.922
11,spheres-3.tif,156,255,45.456,0.949,1.002,0.998,0.931
12,spheres-3.tif,124,255,40.284,0.960,1.016,0.985,0.922
13,spheres-3.tif,122,255,40.042,0.956,1.054,0.949,0.928
14,spheres-3.tif,195,255,49.698,0.992,1.037,0.964,0.949
15,spheres-3.tif,156,255,45.456,0.949,1.002,0.998,0.931
16,spheres-3.tif,155,255,44.870,0.967,1.011,0.989,0.931
17,spheres-3.tif,121,255,39.698,0.965,1.000,1.000,0.910
18,spheres-3.tif,154,255,45.456,0.937,1.020,0.980,0.925
19,spheres-3.tif,156,255,46.284,0.915,1.052,0.950,0.918
20,spheres-3.tif,125,255,39.698,0.997,1.001,0.999,0.926
21,spheres-3.tif,154,255,44.870,0.961,1.023,0.977,0.931
22,spheres-3.tif,156,255,45.698,0.939,1.039,0.962,0.923
23,spheres-3.tif,157,255,45.698,0.945,1.021,0.979,0.921
24,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
25,spheres-3.tif,96,255,35.213,0.973,1.023,0.978,0.919
26,spheres-3.tif,157,255,46.527,0.911,1.026,0.975,0.908
27,spheres-3.tif,125,255,40.042,0.980,1.049,0.953,0.929
28,spheres-3.tif,97,255,35.213,0.983,1.008,0.992,0.924
29,spheres-3.tif,156,255,45.698,0.939,1.013,0.987,0.918
30,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
31,spheres-3.tif,153,255,45.698,0.921,1.045,0.957,0.913
32,spheres-3.tif,149,255,44.870,0.930,1.016,0.985,0.917
33,spheres-3.tif,185,255,48.284,0.997,1.000,1.000,0.959
34,spheres-3.tif,123,255,39.698,0.981,1.030,0.971,0.918
35,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
36,spheres-3.tif,159,255,47.113,0.900,1.020,0.980,0.909
37,spheres-3.tif,151,255,44.870,0.942,1.014,0.987,0.921
38,spheres-3.tif,101,255,36.042,0.977,1.061,0.942,0.914
39,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
40,spheres-3.tif,121,255,38.870,1.000,1.031,0.970,0.934
41,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
42,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
43,spheres-3.tif,161,255,47.698,0.889,1.000,1.000,0.910
44,spheres-3.tif,125,255,40.284,0.968,1.001,0.999,0.926
45,spheres-3.tif,125,255,40.284,0.968,1.034,0.967,0.916
46,spheres-3.tif,154,255,45.698,0.927,1.057,0.946,0.917
47,spheres-3.tif,123,255,40.284,0.952,1.049,0.953,0.911
48,spheres-3.tif,153,255,45.456,0.931,1.014,0.986,0.919
49,spheres-3.tif,150,255,44.870,0.936,1.006,0.994,0.920
50,spheres-3.tif,124,255,40.042,0.972,1.056,0.947,0.925
51,spheres-3.tif,193,255,49.941,0.972,1.026,0.975,0.935
52,spheres-3.tif,120,255,39.456,0.969,1.041,0.961,0.930
53,spheres-3.tif,154,255,44.870,0.961,1.023,0.977,0.931
54,spheres-3.tif,120,255,38.627,1.000,1.000,1.000,0.952
55,spheres-3.tif,125,255,40.284,0.968,1.050,0.952,0.916
56,spheres-3.tif,198,255,50.527,0.975,1.002,0.998,0.938
57,spheres-3.tif,124,255,39.698,0.989,1.016,0.985,0.922
58,spheres-3.tif,120,255,39.456,0.969,1.017,0.984,0.930
59,spheres-3.tif,124,255,39.456,1.000,1.057,0.946,0.936
60,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
61,spheres-3.tif,152,255,45.698,0.915,1.015,0.985,0.907
62,spheres-3.tif,196,255,50.284,0.974,1.050,0.952,0.951
63,spheres-3.tif,158,255,47.113,0.895,1.030,0.971,0.905
64,spheres-3.tif,195,255,50.284,0.969,1.037,0.964,0.949
65,spheres-3.tif,155,255,46.284,0.909,1.044,0.957,0.914
66,spheres-3.tif,125,255,40.284,0.968,1.027,0.974,0.916
67,spheres-3.tif,125,255,39.698,0.997,1.001,0.999,0.926
68,spheres-3.tif,123,255,39.698,0.981,1.020,0.981,0.918
69,spheres-3.tif,98,255,35.799,0.961,1.015,0.985,0.929
70,spheres-3.tif,97,255,34.627,1.000,1.015,0.985,0.933
71,spheres-3.tif,120,255,38.627,1.000,1.000,1.000,0.952
72,spheres-3.tif,193,255,50.284,0.959,1.050,0.953,0.944
73,spheres-3.tif,157,255,45.698,0.945,1.021,0.979,0.921
74,spheres-3.tif,71,255,29.799,1.000,1.062,0.942,0.928
75,spheres-3.tif,154,255,46.284,0.903,1.030,0.971,0.911
76,spheres-3.tif,102,255,36.042,0.987,1.047,0.955,0.919
77,spheres-3.tif,124,255,40.284,0.960,1.043,0.959,0.915
78,spheres-3.tif,124,255,39.456,1.000,1.057,0.946,0.936
79,spheres-3.tif,126,255,40.870,0.948,1.042,0.959,0.910
80,spheres-3.tif,120,255,38.870,0.998,1.014,0.987,0.930
81,spheres-3.tif,125,255,40.284,0.968,1.026,0.975,0.916
82,spheres-3.tif,154,255,45.698,0.927,1.022,0.978,0.914
83,spheres-3.tif,99,255,36.042,0.958,1.023,0.978,0.904
84,spheres-3.tif,157,255,45.698,0.945,1.011,0.989,0.921
85,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
86,spheres-3.tif,154,255,44.870,0.961,1.017,0.983,0.928
87,spheres-3.tif,122,255,39.698,0.973,1.017,0.984,0.914
88,spheres-3.tif,153,255,44.870,0.955,1.012,0.988,0.924
89,spheres-3.tif,125,255,40.284,0.968,1.001,0.999,0.926
90,spheres-3.tif,155,255,44.870,0.967,1.011,0.989,0.931
91,spheres-3.tif,126,255,40.042,0.988,1.194,0.837,0.933
92,spheres-3.tif,188,255,49.698,0.956,1.026,0.974,0.942
93,spheres-3.tif,152,255,45.456,0.924,1.038,0.963,0.924
94,spheres-3.tif,124,255,40.284,0.960,1.016,0.985,0.922
95,spheres-3.tif,124,255,40.042,0.972,1.064,0.940,0.925
96,spheres-3.tif,124,255,40.284,0.960,1.016,0.985,0.922
97,spheres-3.tif,155,255,44.870,0.967,1.011,0.989,0.934
98,spheres-3.tif,123,255,39.698,0.981,1.019,0.981,0.918
99,spheres-3.tif,156,255,45.698,0.939,1.018,0.983,0.920
100,spheres-3.tif,120,255,38.870,0.998,1.014,0.987,0.930
101,spheres-3.tif,156,255,45.456,0.949,1.002,0.998,0.931
102,spheres-3.tif,100,255,36.042,0.967,1.073,0.932,0.909
103,spheres-3.tif,156,255,45.456,0.949,1.002,0.998,0.931
104,spheres-3.tif,120,255,38.627,1.000,1.000,1.000,0.952
105,spheres-3.tif,154,255,45.698,0.927,1.038,0.963,0.917
106,spheres-3.tif,126,255,40.870,0.948,1.016,0.984,0.920
107,spheres-3.tif,153,255,45.456,0.931,1.014,0.986,0.919
108,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
109,spheres-3.tif,157,255,45.698,0.945,1.011,0.989,0.921
110,spheres-3.tif,122,255,39.698,0.973,1.017,0.984,0.914
111,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
112,spheres-3.tif,156,255,45.456,0.949,1.002,0.998,0.931
113,spheres-3.tif,120,255,38.627,1.000,1.000,1.000,0.952
114,spheres-3.tif,152,255,45.698,0.915,1.041,0.961,0.913
115,spheres-3.tif,126,255,40.870,0.948,1.041,0.960,0.920
116,spheres-3.tif,157,255,45.698,0.945,1.022,0.979,0.921
117,spheres-3.tif,196,255,49.698,0.997,1.030,0.971,0.951
118,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
119,spheres-3.tif,153,255,46.042,0.907,1.013,0.987,0.916
120,spheres-3.tif,124,255,39.698,0.989,1.016,0.985,0.922
121,spheres-3.tif,155,255,44.870,0.967,1.011,0.989,0.931
122,spheres-3.tif,125,255,40.284,0.968,1.001,0.999,0.926
123,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
124,spheres-3.tif,161,255,47.698,0.889,1.000,1.000,0.910
125,spheres-3.tif,122,255,39.456,0.985,1.045,0.957,0.938
126,spheres-3.tif,102,255,36.042,0.987,1.047,0.955,0.919
127,spheres-3.tif,156,255,44.870,0.974,1.002,0.998,0.934
128,spheres-3.tif,120,255,38.870,0.998,1.041,0.961,0.930
129,spheres-3.tif,122,255,39.698,0.973,1.017,0.984,0.914
130,spheres-3.tif,152,255,44.870,0.949,1.012,0.988,0.924
131,spheres-3.tif,122,255,40.284,0.945,1.082,0.924,0.907
132,spheres-3.tif,125,255,40.627,0.952,1.062,0.941,0.929
133,spheres-3.tif,153,255,45.456,0.931,1.033,0.968,0.924
134,spheres-3.tif,125,255,40.870,0.940,1.040,0.962,0.916
135,spheres-3.tif,153,255,44.870,0.955,1.024,0.976,0.927
136,spheres-3.tif,127,255,40.870,0.955,1.029,0.972,0.924
137,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
138,spheres-3.tif,97,255,35.213,0.983,1.015,0.985,0.933
139,spheres-3.tif,157,255,45.698,0.945,1.011,0.989,0.921
140,spheres-3.tif,156,255,45.456,0.949,1.002,0.998,0.931
141,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
142,spheres-3.tif,126,255,40.284,0.976,1.039,0.962,0.920
143,spheres-3.tif,126,255,40.284,0.976,1.041,0.960,0.920
144,spheres-3.tif,120,255,38.627,1.000,1.000,1.000,0.952
145,spheres-3.tif,125,255,40.627,0.952,1.049,0.953,0.929
146,spheres-3.tif,123,255,40.042,0.964,1.068,0.936,0.921
147,spheres-3.tif,122,255,39.456,0.985,1.045,0.957,0.938
148,spheres-3.tif,157,255,45.698,0.945,1.021,0.979,0.921
149,spheres-3.tif,125,255,40.870,0.940,1.029,0.972,0.916
150,spheres-3.tif,158,255,45.698,0.951,1.024,0.977,0.924
151,spheres-3.tif,155,255,44.870,0.967,1.011,0.989,0.931
152,spheres-3.tif,154,255,44.870,0.961,1.004,0.996,0.928
153,spheres-3.tif,96,255,34.627,1.000,1.026,0.975,0.928
154,spheres-3.tif,153,255,44.870,0.955,1.030,0.971,0.927
155,spheres-3.tif,125,255,40.284,0.968,1.045,0.957,0.916
156,spheres-3.tif,101,255,36.042,0.977,1.061,0.942,0.914
157,spheres-3.tif,195,255,49.698,0.992,1.037,0.964,0.949
158,spheres-3.tif,120,255,38.870,0.998,1.012,0.988,0.930
159,spheres-3.tif,100,255,36.042,0.967,1.073,0.932,0.909
160,spheres-3.tif,123,255,39.698,0.981,1.019,0.981,0.918
161,spheres-3.tif,121,255,40.284,0.937,1.034,0.968,0.913
162,spheres-3.tif,194,255,49.941,0.977,1.017,0.983,0.946
163,spheres-3.tif,155,255,45.456,0.943,1.011,0.989,0.928
164,spheres-3.tif,125,255,40.284,0.968,1.050,0.952,0.916
165,spheres-3.tif,100,255,36.042,0.967,1.073,0.932,0.909
166,spheres-3.tif,122,255,39.698,0.973,1.026,0.974,0.917
