img, part, ecd.nm, contrast, circ, a.r, round, solidity
1, 110, 43.57, 0.5498, 0.5879, 2.6481, 0.3776, 0.9616
2, 1, 72.42, 0.5118, 0.8818, 1.1330, 0.8826, 0.9768
2, 2, 33.25, 0.8919, 0.5830, 2.8172, 0.3550, 0.9664
2, 3, 36.12, 0.4170, 0.7983, 1.2252, 0.8162, 0.9508
2, 4, 45.39, 0.8649, 0.5452, 2.8317, 0.3531, 0.9683
2, 5, 67.28, 0.6106, 0.7633, 1.6812, 0.5948, 0.9789
2, 6, 72.40, 0.6764, 0.8320, 1.3652, 0.7325, 0.9778
2, 7, 79.70, 0.8182, 0.8066, 1.4635, 0.6833, 0.9819
2, 8, 26.01, 0.4234, 0.4345, 3.2900, 0.3039, 0.9174
2, 9, 46.83, 0.4444, 0.5998, 2.4969, 0.4005, 0.9634
2, 10, 76.85, 0.6481, 0.8636, 1.2574, 0.7953, 0.9807
2, 11, 38.48, 0.6033, 0.8978, 1.1447, 0.8736, 0.9576
2, 12, 57.79, 0.9145, 0.7348, 1.7990, 0.5559, 0.9748
2, 13, 66.25, 0.6008, 0.9161, 1.0413, 0.9603, 0.9730
2, 14, 75.30, 0.5385, 0.8651, 1.0583, 0.9450, 0.9660
2, 15, 73.36, 0.5513, 0.8582, 1.0256, 0.9750, 0.9675
2, 16, 67.35, 0.5318, 0.8545, 1.0347, 0.9665, 0.9645
2, 17, 87.98, 0.4889, 0.8995, 1.0255, 0.9751, 0.9750
2, 18, 77.77, 0.6898, 0.8967, 1.0401, 0.9614, 0.9743
2, 19, 82.48, 0.7912, 0.8903, 1.0126, 0.9876, 0.9748
2, 20, 73.61, 0.4959, 0.8846, 1.0402, 0.9614, 0.9705
2, 21, 40.89, 0.6504, 0.6235, 2.3021, 0.4344, 0.9633
2, 22, 83.40, 0.4310, 0.8962, 1.0399, 0.9616, 0.9726
2, 23, 82.88, 0.5108, 0.8780, 1.0148, 0.9854, 0.9742
2, 24, 87.45, 0.5753, 0.8875, 1.0029, 0.9971, 0.9735
2, 25, 67.86, 0.5474, 0.7576, 1.6708, 0.5985, 0.9762
2, 26, 77.75, 0.5229, 0.8824, 1.0314, 0.9695, 0.9721
2, 27, 81.41, 0.6615, 0.8916, 1.0348, 0.9664, 0.9717
2, 28, 73.33, 0.6716, 0.8912, 1.0518, 0.9507, 0.9707
2, 29, 94.82, 0.6627, 0.8991, 1.0091, 0.9910, 0.9755
2, 30, 80.28, 0.5380, 0.8876, 1.0182, 0.9821, 0.9737
2, 31, 79.73, 0.4809, 0.8916, 1.0116, 0.9885, 0.9718
2, 32, 53.27, 0.4390, 0.7836, 1.0216, 0.9789, 0.9433
2, 33, 20.07, 0.3843, 0.3990, 3.9327, 0.2543, 0.8977
2, 34, 80.98, 0.4797, 0.8717, 1.0172, 0.9831, 0.9675
2, 35, 83.22, 0.5671, 0.8962, 1.0440, 0.9579, 0.9721
2, 36, 82.67, 0.7565, 0.9012, 1.0242, 0.9764, 0.9756
2, 37, 63.42, 0.5461, 0.8312, 1.3964, 0.7161, 0.9772
2, 38, 70.48, 0.7675, 0.9083, 1.0290, 0.9718, 0.9725
2, 39, 55.09, 0.5359, 0.8736, 1.0051, 0.9949, 0.9651
2, 40, 55.48, 0.6666, 0.8888, 1.0617, 0.9419, 0.9639
2, 41, 69.04, 0.5944, 0.8882, 1.0088, 0.9912, 0.9684
2, 42, 84.74, 0.5677, 0.8784, 1.0215, 0.9790, 0.9726
2, 43, 80.82, 0.5772, 0.8592, 1.0108, 0.9893, 0.9687
2, 44, 43.25, 0.4450, 0.7970, 1.0743, 0.9308, 0.9380
2, 45, 85.53, 0.7807, 0.9043, 1.0177, 0.9826, 0.9765
2, 46, 91.52, 0.6418, 0.8887, 1.1102, 0.9008, 0.9789
2, 47, 91.44, 0.5722, 0.8769, 1.0131, 0.9871, 0.9749
2, 48, 81.47, 0.6605, 0.8918, 1.0294, 0.9714, 0.9737
2, 49, 75.22, 0.5989, 0.8851, 1.0263, 0.9743, 0.9692
2, 50, 76.95, 0.6351, 0.8884, 1.0487, 0.9536, 0.9748
2, 51, 81.42, 0.6411, 0.8900, 1.0122, 0.9880, 0.9760
2, 52, 78.61, 0.5006, 0.9070, 1.0254, 0.9752, 0.9750
2, 53, 97.60, 0.9507, 0.9025, 1.0427, 0.9590, 0.9758
2, 54, 59.27, 0.4905, 0.7211, 1.8298, 0.5465, 0.9730
2, 55, 85.61, 0.5925, 0.8957, 1.0185, 0.9818, 0.9697
2, 56, 84.81, 0.9174, 0.9128, 1.0242, 0.9764, 0.9760
2, 57, 68.49, 0.8922, 0.9019, 1.0198, 0.9805, 0.9717
2, 58, 64.43, 0.5598, 0.8851, 1.0293, 0.9716, 0.9679
2, 59, 85.96, 0.4921, 0.8677, 1.0416, 0.9601, 0.9719
