 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
91,C3-jw-30min 3_c5.tif:0032-1011,2277,134.310,53,255,387.545,1011.318,387.847,1011.574,178.995,54.249,53.442,160.041,0.893,56.613,363,999,162.525,53.666,1.015,0.985,0.971
92,C3-jw-30min 4_c5.tif:0001-0171,2946,141.437,68,236,495.349,170.996,495.295,170.889,204.652,69.801,53.738,100.587,0.884,70.880,484,138,106.390,53.849,1.299,0.770,0.973
93,C3-jw-30min 4_c5.tif:0002-0174,2685,147.810,69,255,783.530,174.352,782.979,174.370,195.681,66.854,51.136,7.526,0.881,67.231,753,187,22.751,51.000,1.307,0.765,0.973
94,C3-jw-30min 4_c5.tif:0003-0332,2755,138.221,70,235,683.994,332.904,683.668,333.256,198.267,69.958,50.141,88.513,0.881,69.462,680,367,83.387,48.000,1.395,0.717,0.979
95,C3-jw-30min 4_c5.tif:0004-0335,2446,133.813,71,213,1245.128,334.632,1244.711,334.148,190.309,67.426,46.189,120.598,0.849,67.119,1229,306,118.474,45.935,1.460,0.685,0.966
96,C3-jw-30min 4_c5.tif:0005-0474,4183,193.220,68,255,520.776,474.255,520.877,474.191,242.693,81.480,65.365,145.337,0.892,82.462,488,449,140.906,66.468,1.247,0.802,0.978
97,C3-jw-30min 4_c5.tif:0006-0603,5232,144.235,70,246,948.522,601.495,948.284,601.173,277.179,94.845,70.237,55.103,0.856,97.417,925,643,54.189,72.286,1.350,0.741,0.976
98,C3-jw-30min 4_c5.tif:0007-0611,4689,158.588,71,255,683.718,610.261,683.418,609.950,256.593,87.480,68.247,116.963,0.895,87.846,664,571,112.770,69.200,1.282,0.780,0.980
99,C3-jw-30min 4_c5.tif:0008-0618,2698,134.757,69,234,1140.535,618.040,1140.577,618.015,199.581,72.377,47.463,169.490,0.851,73.082,1104,611,163.301,47.927,1.525,0.656,0.973
100,C3-jw-30min 4_c5.tif:0009-0654,2819,133.900,69,255,460.698,654.030,459.613,654.377,200.409,66.287,54.147,128.129,0.882,68.819,442,625,125.538,55.902,1.224,0.817,0.971
101,C3-jw-30min 4_c5.tif:0010-0747,2487,125.442,71,205,785.040,747.102,785.643,747.176,188.167,64.567,49.043,55.497,0.883,65.947,765,773,49.304,49.923,1.317,0.760,0.972
102,C3-jw-30min 4_c5.tif:0011-0872,2432,152.521,70,253,204.857,873.108,204.829,874.049,185.095,59.397,52.132,114.212,0.892,61.612,189,847,125.754,53.000,1.139,0.878,0.973
103,C3-jw-30min 4_c5.tif:0012-0881,2473,126.114,69,205,1062.721,881.566,1062.382,881.180,188.409,63.824,49.334,122.854,0.875,65.437,1042,856,128.797,50.679,1.294,0.773,0.970
104,C3-jw-30min 4_c5.tif:0013-0878,2550,139.825,70,241,456.361,876.747,456.635,877.117,191.439,64.035,50.703,176.171,0.874,63.325,427,862,158.703,49.668,1.263,0.792,0.970
105,C3-jw-30min 5_c5.tif:0001-0048,2704,135.095,65,254,1240.765,47.950,1240.495,47.518,197.238,69.188,49.761,164.553,0.873,70.093,1207,41,165.964,50.280,1.390,0.719,0.975
106,C3-jw-30min 5_c5.tif:0002-0123,2813,159.918,64,255,1104.403,124.161,1104.134,123.511,200.894,68.538,52.257,16.956,0.876,69.921,1072,139,16.621,52.970,1.312,0.762,0.975
107,C3-jw-30min 5_c5.tif:0003-0143,2656,137.727,66,255,1251.075,142.532,1250.471,141.779,190.752,62.237,54.336,174.461,0.917,62.642,1221,134,163.301,54.000,1.145,0.873,0.976
108,C3-jw-30min 5_c5.tif:0004-0260,4123,183.021,62,255,679.410,260.134,679.783,260.766,249.037,90.720,57.866,18.758,0.835,91.548,636,275,21.801,58.296,1.568,0.638,0.976
109,C3-jw-30min 5_c5.tif:0005-0340,4531,127.866,66,236,1087.185,340.766,1088.066,339.852,255.078,88.046,65.523,28.218,0.875,88.955,1045,358,21.084,66.009,1.344,0.744,0.977
110,C3-jw-30min 5_c5.tif:0006-0372,3541,121.825,66,212,804.463,372.653,804.329,372.139,226.836,79.275,56.872,36.871,0.865,78.892,770,393,30.466,56.336,1.394,0.717,0.972
111,C3-jw-30min 5_c5.tif:0007-0390,3005,141.336,63,255,410.624,389.968,409.880,389.772,207.137,72.504,52.771,171.760,0.880,73.553,374,386,172.972,53.918,1.374,0.728,0.974
112,C3-jw-30min 5_c5.tif:0008-0435,4331,138.549,66,237,1340.754,435.545,1341.071,434.878,249.622,87.483,63.034,179.670,0.873,87.693,1297,440,7.206,63.000,1.388,0.721,0.978
113,C3-jw-30min 5_c5.tif:0009-0503,2441,118.163,68,241,145.751,502.719,146.055,502.819,185.581,60.647,51.247,22.694,0.891,61.131,118,516,15.173,51.545,1.183,0.845,0.971
114,C3-jw-30min 5_c5.tif:0010-0555,4681,149.104,66,255,763.712,555.453,762.880,556.421,255.664,84.178,70.803,144.245,0.900,84.906,730,530,147.995,70.004,1.189,0.841,0.978
115,C3-jw-30min 5_c5.tif:0011-0553,3495,121.229,66,181,1009.843,552.659,1009.684,552.483,225.865,79.870,55.715,141.037,0.861,80.056,979,528,138.545,55.400,1.434,0.698,0.974
116,C3-jw-30min 5_c5.tif:0012-0604,2676,138.759,66,254,1304.195,603.574,1304.083,604.734,191.480,60.101,56.691,139.121,0.917,61.294,1278,587,146.310,56.569,1.060,0.943,0.976
117,C3-jw-30min 5_c5.tif:0013-0674,3444,155.652,64,255,366.699,673.469,366.688,673.447,223.279,78.219,56.061,52.124,0.868,78.746,342,705,49.635,56.223,1.395,0.717,0.974
118,C3-jw-30min 5_c5.tif:0014-0700,2402,127.463,63,218,177.878,701.383,177.495,701.111,187.681,66.739,45.825,83.837,0.857,66.910,172,733,80.538,45.971,1.456,0.687,0.971
119,C3-jw-30min 5_c5.tif:0015-0704,2825,142.699,65,238,599.637,704.531,599.170,704.407,201.823,69.947,51.424,166.862,0.872,70.612,565,698,167.735,52.680,1.360,0.735,0.973
120,C3-jw-30min 5_c5.tif:0016-0779,2938,132.806,65,198,803.484,779.991,803.488,780.428,209.723,77.022,48.568,15.953,0.839,78.160,767,794,16.348,49.569,1.586,0.631,0.973
121,C3-jw-30min 5_c5.tif:0017-0826,2916,126.346,67,233,1162.993,826.154,1162.819,825.747,210.167,72.720,51.056,169.765,0.830,72.250,1127,825,175.236,51.229,1.424,0.702,0.962
122,C3-jw-30min 5_c5.tif:0018-0857,2966,121.692,67,211,1098.873,855.833,1097.936,856.218,210.652,70.407,53.637,57.417,0.840,74.202,1081,885,52.667,55.340,1.313,0.762,0.964
123,C3-jw-30min 5_c5.tif:0019-0900,2824,136.398,66,237,843.420,900.506,843.214,900.235,202.167,65.902,54.560,10.088,0.868,66.731,813,915,19.250,54.081,1.208,0.828,0.967
124,C3-jw-30min 5_c5.tif:0020-0910,2124,122.694,66,200,88.382,909.450,88.617,909.428,174.409,58.675,46.090,146.456,0.877,59.405,63,894,143.902,46.287,1.273,0.786,0.968
125,C3-jw-30min 5_c5.tif:0021-0919,2678,130.268,66,223,662.345,919.596,662.252,918.662,192.894,62.240,54.784,151.555,0.904,63.561,633,907,155.854,55.184,1.136,0.880,0.972
126,C3-jw-30min 5_c5.tif:0022-0940,3051,143.711,63,255,356.725,941.015,356.705,940.294,210.309,73.812,52.629,166.179,0.867,75.000,321,930,163.740,53.571,1.403,0.713,0.975
127,C3-jw-30min 5_c5.tif:0023-0942,2216,109.220,67,198,1016.966,941.909,1017.416,941.993,174.752,57.533,49.041,101.001,0.912,59.135,1006,914,108.741,49.964,1.173,0.852,0.974
128,C3-jw-30min 5_c5.tif:0024-0951,2670,114.875,66,210,1231.479,951.158,1231.670,950.851,194.652,64.866,52.409,143.390,0.886,65.947,1207,930,139.304,53.218,1.238,0.808,0.972
