"Z.um","Gen.C.K.L2.","Emit.C.K.L2.","Gen.C.K.L3.","Emit.C.K.L3.","Gen.O.K.L2.","Emit.O.K.L2.","Gen.O.K.L3.","Emit.O.K.L3.","Gen.Si.K.L2.","Emit.Si.K.L2.","Gen.Si.K.L3.","Emit.Si.K.L3.","Gen.Si.K.M2.","Emit.Si.K.M2.","Gen.Si.K.M3.","Emit.Si.K.M3.","Gen.Si.L1.M2.","Emit.Si.L1.M2.","Gen.Si.L2.M1.","Emit.Si.L2.M1.","Gen.Si.L3.M1.","Emit.Si.L3.M1.","Gen_I.C.K.L2.","Emit_I.C.K.L2.","Gen_I.C.K.L3.","Emit_I.C.K.L3.","Gen_I.O.K.L2.","Emit_I.O.K.L2.","Gen_I.O.K.L3.","Emit_I.O.K.L3.","Gen_I.Si.K.L2.","Emit_I.Si.K.L2.","Gen_I.Si.K.L3.","Emit_I.Si.K.L3.","Gen_I.Si.K.M2.","Emit_I.Si.K.M2.","Gen_I.Si.K.M3.","Emit_I.Si.K.M3.","Gen_I.Si.L1.M2.","Emit_I.Si.L1.M2.","Gen_I.Si.L2.M1.","Emit_I.Si.L2.M1.","Gen_I.Si.L3.M1.","Emit_I.Si.L3.M1."
0.290999999999258,0,0,0,0,2.406,1.35,2.406,1.35,1.881,1.722,1.881,1.722,1.881,1.743,1.881,1.742,2.822,0.001,22.739,0.143,23.334,0.147,0,0,0,0,457507.171,256735.204,911395.399,511439.599,245621.707,224903.71,487354.441,446246.479,4187.179,3879.731,8307.339,7693.115,2629.145,1.155,17736.57,111.658,33447.822,210.566
0.313000000000102,0,0,0,0,2.398,1.291,2.398,1.291,1.838,1.672,1.838,1.672,1.838,1.693,1.838,1.692,2.83,0.001,22.782,0.097,23.378,0.1,0,0,0,0,456079.21,245460.914,908550.773,488980.2,240088.994,218356.569,476376.615,433255.859,4092.861,3770.213,8120.213,7475.636,2636.717,0.634,17770.199,75.885,33511.321,143.105
0.334499999999935,0,0,0,0,2.398,1.238,2.398,1.238,1.815,1.64,1.815,1.64,1.815,1.662,1.815,1.661,2.848,0,22.927,0.067,23.527,0.068,0,0,0,0,455945.029,235425.169,908283.473,468988.094,237022.498,214124.347,470292.175,424858.425,4040.586,3700.479,8016.499,7337.057,2653.764,0.352,17883.334,52,33725.386,98.065
0.355999999999767,0,0,0,0,2.371,1.175,2.371,1.175,1.768,1.587,1.768,1.587,1.768,1.61,1.768,1.609,2.843,0,22.88,0.045,23.479,0.046,0,0,0,0,450932.338,223377.372,898297.742,444987.8,230942.49,207238.388,458228.425,411195.532,3936.939,3584.704,7810.863,7107.208,2648.823,0.193,17846.271,35.289,33656.319,66.552
0.378000000000611,0,0,0,0,2.295,1.09,2.295,1.09,1.689,1.505,1.689,1.505,1.689,1.529,1.689,1.527,2.765,0,22.242,0.03,22.825,0.031,0,0,0,0,436402.419,207354.463,869352.837,413068.725,220519.87,196556.16,437548.209,390000.211,3759.261,3403.011,7458.352,6746.689,2576.246,0.103,17348.923,23.29,32718.605,43.922
0.399999999999636,0,0,0,0,2.329,1.062,2.329,1.062,1.668,1.477,1.668,1.477,1.668,1.501,1.668,1.5,2.85,0,22.911,0.021,23.513,0.021,0,0,0,0,442936.456,201885.334,882369.226,402173.728,217851.396,192871.964,432253.511,382690.152,3713.771,3342.256,7368.1,6625.959,2655.066,0.058,17871.099,16.315,33704.628,30.77
0.42200000000048,0,0,0,0,2.261,0.989,2.261,0.989,1.587,1.396,1.587,1.396,1.587,1.42,1.587,1.419,2.797,0,22.475,0.014,23.066,0.014,0,0,0,0,429942.787,188032.65,856484.67,374577.937,207306.663,182314.395,411331.001,361742.173,3534.012,3162.143,7011.46,6268.627,2605.483,0.032,17531.138,10.902,33064.286,20.561
0.443999999999505,0,0,0,0,2.249,0.944,2.249,0.944,1.555,1.358,1.555,1.358,1.555,1.383,1.555,1.382,2.798,0,22.486,0.009,23.078,0.01,0,0,0,0,427754.213,179431.997,852124.834,357444.663,203087.801,177401.943,402960.076,351995.048,3462.092,3079.734,6868.771,6105.002,2606.734,0.017,17539.709,7.404,33081.212,13.965
0.465500000000247,0,0,0,0,2.178,0.876,2.178,0.876,1.477,1.282,1.477,1.282,1.477,1.306,1.477,1.305,2.725,0,21.879,0.006,22.454,0.006,0,0,0,0,414132.591,166649.879,824989.339,331981.536,192897.332,167370.193,382740.485,332090.384,3288.373,2908.211,6524.112,5764.745,2538.982,0.009,17065.845,4.9,32187.321,9.243
0.486999999999171,0,0,0,0,2.101,0.811,2.101,0.811,1.39,1.198,1.39,1.198,1.39,1.222,1.39,1.221,2.669,0,21.437,0.004,22.002,0.004,0,0,0,0,399590.723,154262.251,796020.631,307304.266,181497.271,156427.065,360120.862,310377.392,3094.033,2720.513,6138.543,5392.46,2486.785,0.005,16720.977,3.266,31538.543,6.161
0.509000000000015,0,0,0,0,1.993,0.738,1.993,0.738,1.282,1.097,1.282,1.097,1.282,1.121,1.282,1.119,2.562,0,20.554,0.003,21.096,0.003,0,0,0,0,379063.528,140400.928,755128.613,279691.266,167397.412,143308.86,332144.391,284348.684,2853.669,2494.619,5661.662,4944.496,2386.741,0.003,16032.577,2.131,30240.469,4.02
0.531000000000859,0,0,0,0,1.876,0.666,1.876,0.666,1.18,1.003,1.18,1.003,1.18,1.026,1.18,1.025,2.448,0,19.647,0.002,20.166,0.002,0,0,0,0,356696.628,126734.613,710571.738,252466.738,154105.999,131044.691,305772.009,260014.528,2627.086,2283.199,5212.124,4525.257,2280.546,0.001,15324.618,1.385,28906.56,2.613
