Z.nm,Hits 
66.325450,0.000066
66.534021,0.000050
66.742591,0.000050
66.951162,0.000116
67.159732,0.000066
67.368303,0.000133
67.576874,0.000133
67.785444,0.000066
67.994015,0.000100
68.202585,0.000017
68.411156,0.000033
68.619727,0.000050
68.828297,0.000033
69.036868,0.000100
69.245438,0.000050
69.454009,0.000033
69.662580,0.000050
69.871150,0.000033
70.079721,0.000050
70.288291,0.000050
70.496862,0.000083
70.705433,0.000000
70.914003,0.000066
71.122574,0.000050
71.331144,0.000050
71.539715,0.000033
71.748286,0.000100
71.956856,0.000066
72.165427,0.000083
72.373997,0.000033
72.582568,0.000050
72.791139,0.000033
72.999709,0.000050
73.208280,0.000050
73.416850,0.000033
73.625421,0.000050
73.833992,0.000066
74.042562,0.000050
74.251133,0.000050
74.459703,0.000066
74.668274,0.000050
74.876845,0.000066
75.085415,0.000050
75.293986,0.000000
75.502556,0.000017
75.711127,0.000033
75.919698,0.000083
76.128268,0.000017
76.336839,0.000100
76.545409,0.000033
76.753980,0.000017
76.962551,0.000033
77.171121,0.000033
77.379692,0.000050
77.588262,0.000017
77.796833,0.000017
78.005404,0.000066
78.213974,0.000033
78.422545,0.000033
78.631115,0.000050
78.839686,0.000050
79.048257,0.000050
79.256827,0.000017
79.465398,0.000000
79.673968,0.000017
79.882539,0.000033
80.091110,0.000033
80.299680,0.000033
80.508251,0.000017
80.716821,0.000017
80.925392,0.000050
81.133962,0.000033
81.342533,0.000050
81.551104,0.000033
81.759674,0.000000
81.968245,0.000000
82.176815,0.000000
82.385386,0.000033
82.593957,0.000000
82.802527,0.000033
83.011098,0.000050
83.219668,0.000000
83.428239,0.000000
83.636810,0.000033
83.845380,0.000017
84.053951,0.000017
84.262521,0.000050
84.471092,0.000017
84.679663,0.000050
84.888233,0.000033
85.096804,0.000033
85.305374,0.000000
85.513945,0.000017
85.722516,0.000000
85.931086,0.000066
86.139657,0.000000
86.348227,0.000000
86.556798,0.000050
86.765369,0.000000
86.973939,0.000033
87.182510,0.000017
87.391080,0.000017
87.599651,0.000017
87.808222,0.000033
88.016792,0.000000
88.225363,0.000000
88.433933,0.000033
88.642504,0.000000
88.851075,0.000000
89.059645,0.000017
89.268216,0.000000
89.476786,0.000017
89.685357,0.000000
89.893928,0.000000
90.102498,0.000000
90.311069,0.000050
90.519639,0.000000
90.728210,0.000033
90.936781,0.000017
91.145351,0.000000
91.353922,0.000000
91.562492,0.000017
91.771063,0.000000
91.979634,0.000017
92.188204,0.000000
92.396775,0.000033
92.605345,0.000000
92.813916,0.000000
93.022487,0.000017
93.231057,0.000000
93.439628,0.000033
93.648198,0.000000
93.856769,0.000000
94.065340,0.000000
94.273910,0.000017
94.482481,0.000000
94.691051,0.000000
94.899622,0.000017
95.108193,0.000017
95.316763,0.000017
95.525334,0.000000
95.733904,0.000000
95.942475,0.000017
96.151046,0.000017
96.359616,0.000000
96.568187,0.000000
96.776757,0.000000
96.985328,0.000017
97.193899,0.000000
97.402469,0.000000
97.611040,0.000017
97.819610,0.000000
98.028181,0.000000
98.236752,0.000000
98.445322,0.000000
98.653893,0.000000
98.862463,0.000000
99.071034,0.000017
99.279604,0.000000
99.488175,0.000000
99.696746,0.000000
99.905316,0.000000
100.113887,0.000017
100.322457,0.000000
100.531028,0.000000
100.739599,0.000000
100.948169,0.000000
101.156740,0.000000
101.365310,0.000017
101.573881,0.000000
101.782452,0.000000
101.991022,0.000000
102.199593,0.000000
102.408163,0.000000
102.616734,0.000000
102.825305,0.000000
103.033875,0.000017
103.242446,0.000000
103.451016,0.000000
103.659587,0.000000
103.868158,0.000017
104.076728,0.000000
104.285299,0.000000
104.493869,0.000000
104.702440,0.000000
104.911011,0.000017
105.119581,0.000000
105.328152,0.000017
105.536722,0.000000
105.745293,0.000000
105.953864,0.000000
106.162434,0.000000
106.371005,0.000000
106.579575,0.000000
106.788146,0.000000
106.996717,0.000000
107.205287,0.000000
107.413858,0.000000
107.622428,0.000000
107.830999,0.000000
108.039570,0.000000
108.248140,0.000000
108.456711,0.000000
108.665281,0.000000
108.873852,0.000000
109.082423,0.000000
109.290993,0.000000
109.499564,0.000000
109.708134,0.000000
109.916705,0.000000
110.125276,0.000000
110.333846,0.000000
110.542417,0.000000
110.750987,0.000000
110.959558,0.000000
111.168129,0.000000
111.376699,0.000000
111.585270,0.000000
111.793840,0.000000
112.002411,0.000000
112.210982,0.000000
112.419552,0.000000
112.628123,0.000000
112.836693,0.000000
113.045264,0.000000
113.253835,0.000000
113.462405,0.000000
113.670976,0.000000
113.879546,0.000000
114.088117,0.000000
114.296688,0.000000
114.505258,0.000000
114.713829,0.000000
114.922399,0.000000
115.130970,0.000000
115.339541,0.000000
115.548111,0.000000
115.756682,0.000000
115.965252,0.000000
116.173823,0.000000
116.382394,0.000000
116.590964,0.000000
116.799535,0.000000
117.008105,0.000000
117.216676,0.000000
117.425246,0.000017
117.633817,0.000000
117.842388,0.000000
118.050958,0.000000
118.259529,0.000000
118.468099,0.000000
118.676670,0.000000
118.885241,0.000000
119.093811,0.000000
119.302382,0.000000
119.510952,0.000000
119.719523,0.000000
119.928094,0.000000
120.136664,0.000000
120.345235,0.000000
120.553805,0.000000
120.762376,0.000000
120.970947,0.000000
121.179517,0.000000
121.388088,0.000000
121.596658,0.000000
121.805229,0.000000
122.013800,0.000000
122.222370,0.000000
122.430941,0.000000
122.639511,0.000000
122.848082,0.000000
123.056653,0.000000
123.265223,0.000000
123.473794,0.000000
123.682364,0.000000
123.890935,0.000000
124.099506,0.000000
124.308076,0.000000
124.516647,0.000000
124.725217,0.000000
124.933788,0.000000
125.142359,0.000000
125.350929,0.000000
125.559500,0.000000
125.768070,0.000000
125.976641,0.000000
126.185212,0.000000
126.393782,0.000000
126.602353,0.000000
126.810923,0.000000
127.019494,0.000000
127.228065,0.000000
127.436635,0.000000
127.645206,0.000000
127.853776,0.000000
128.062347,0.000000
128.270918,0.000000
128.479488,0.000000
128.688059,0.000000
128.896629,0.000000
129.105200,0.000000
129.313771,0.000000
129.522341,0.000000
129.730912,0.000000
129.939482,0.000000
130.148053,0.000000
130.356624,0.000000
130.565194,0.000000
130.773765,0.000000
130.982335,0.000000
131.190906,0.000000
131.399477,0.000000
131.608047,0.000000
131.816618,0.000000
132.025188,0.000000
132.233759,0.000000
132.442330,0.000000
132.650900,0.000000
132.859471,0.000000
133.068041,0.000000
133.276612,0.000000
133.485183,0.000000
133.693753,0.000000
133.902324,0.000000
134.110894,0.000000
134.319465,0.000000
134.528036,0.000000
134.736606,0.000000
134.945177,0.000000
135.153747,0.000000
135.362318,0.000000
135.570888,0.000000
135.779459,0.000000
135.988030,0.000000
136.196600,0.000000
136.405171,0.000000
136.613741,0.000000
136.822312,0.000000
137.030883,0.000000
137.239453,0.000000
137.448024,0.000000
137.656594,0.000000
137.865165,0.000000
138.073736,0.000000
138.282306,0.000000
138.490877,0.000000
138.699447,0.000000
138.908018,0.000000
139.116589,0.000000
139.325159,0.000000
139.533730,0.000000
139.742300,0.000000
139.950871,0.000000
140.159442,0.000000
140.368012,0.000000
140.576583,0.000000
140.785153,0.000000
140.993724,0.000000
141.202295,0.000000
141.410865,0.000000
141.619436,0.000000
141.828006,0.000000
142.036577,0.000000
142.245148,0.000000
142.453718,0.000000
142.662289,0.000000
142.870859,0.000000
143.079430,0.000000
143.288001,0.000000
143.496571,0.000000
143.705142,0.000000
143.913712,0.000000
144.122283,0.000000
144.330854,0.000000
144.539424,0.000000
