 ,Label,Area,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
810,work,1138.780,1296.376,1154.413,125.173,38.870,37.302,72.408,0.913,42.800,838,765,34.824,36.662,1.042,0.960,0.956
811,work,683.735,1519.408,1153.832,108.108,35.234,24.708,114.607,0.735,39.126,983,748,141.340,26.665,1.426,0.701,0.889
812,work,1164.450,1462.501,1160.137,135.451,40.308,36.783,79.276,0.798,42.609,954,773,75.466,38.190,1.096,0.913,0.912
813,work,1402.473,890.540,1163.477,140.142,43.890,40.685,141.011,0.897,45.828,572,751,143.130,41.047,1.079,0.927,0.945
814,work,112.011,1500.136,1153.307,42.095,12.834,11.112,31.708,0.794,15.728,978,759,60.945,12.221,1.155,0.866,0.865
815,work,1334.800,127.720,1168.377,137.982,43.031,39.496,160.371,0.881,45.573,69,769,13.570,40.634,1.090,0.918,0.932
816,work,1390.805,298.282,1168.095,139.772,44.156,40.104,158.044,0.895,46.561,185,753,131.009,40.990,1.101,0.908,0.948
817,work,1257.792,393.247,1167.996,131.501,41.061,39.002,128.887,0.914,43.234,249,753,122.005,39.718,1.053,0.950,0.946
818,work,1337.133,577.920,1168.550,136.346,41.914,40.619,137.065,0.904,45.419,366,756,132.274,41.245,1.032,0.969,0.944
819,work,1187.785,808.844,1166.396,128.446,39.533,38.255,35.312,0.905,41.947,519,772,33.111,39.402,1.033,0.968,0.943
820,work,1367.470,40.445,1169.071,135.975,42.663,40.811,179.267,0.929,44.615,17,754,128.047,39.718,1.045,0.957,0.960
821,work,1124.779,208.869,1169.335,124.649,40.612,35.264,160.455,0.910,43.234,125,757,147.995,35.135,1.152,0.868,0.947
822,work,1407.140,483.896,1172.695,139.030,44.951,39.857,149.992,0.915,47.724,307,755,129.806,39.718,1.128,0.887,0.958
823,work,1358.136,1033.811,1174.248,137.087,42.555,40.636,26.412,0.908,45.239,663,773,11.689,41.245,1.047,0.955,0.940
824,work,1381.471,666.974,1178.157,138.877,42.921,40.981,158.913,0.900,45.419,423,776,19.654,40.881,1.047,0.955,0.941
825,work,1285.795,1248.875,1176.659,136.716,44.001,37.207,146.813,0.864,46.761,807,758,128.367,39.624,1.183,0.846,0.932
826,work,1215.788,1340.998,1179.210,131.872,40.461,38.259,28.332,0.879,42.444,870,783,59.744,39.643,1.058,0.946,0.938
827,work,1185.452,1500.408,1184.084,147.672,41.218,36.619,85.743,0.683,47.380,976,788,69.228,39.406,1.126,0.888,0.860
828,work,1194.786,1166.503,1182.241,128.446,39.776,38.246,14.312,0.910,42.609,750,778,14.534,38.190,1.040,0.962,0.944
829,work,1379.138,1419.650,1183.301,139.401,43.519,40.350,129.286,0.892,46.183,921,762,124.216,41.245,1.079,0.927,0.939
830,work,1281.128,757.430,1185.103,132.396,41.248,39.546,109.293,0.918,43.234,488,764,122.005,39.718,1.043,0.959,0.951
831,work,1311.464,939.276,1184.647,133.661,41.527,40.210,148.455,0.922,44.063,602,769,146.310,41.047,1.033,0.968,0.951
832,work,1213.454,254.965,1188.809,128.816,40.208,38.426,32.036,0.919,42.609,153,782,14.534,39.107,1.046,0.956,0.948
833,work,1516.818,343.062,1193.198,146.253,44.875,43.037,171.391,0.891,47.846,209,777,163.301,44.300,1.043,0.959,0.949
834,work,1138.780,851.459,1189.322,125.391,40.327,35.954,135.553,0.910,42.472,550,767,127.694,36.726,1.122,0.892,0.943
835,work,980.098,1081.709,1189.631,116.378,36.351,34.329,129.265,0.909,39.423,701,768,125.538,35.135,1.059,0.944,0.944
836,work,1477.147,531.537,1194.296,141.561,43.983,42.761,110.770,0.926,47.158,341,796,65.095,42.773,1.029,0.972,0.958
837,work,1313.798,170.154,1193.603,135.080,42.590,39.276,172.956,0.905,44.089,97,779,165.964,38.190,1.084,0.922,0.956
838,work,1113.111,83.145,1193.471,123.754,38.530,36.783,166.691,0.913,40.676,43,774,145.713,36.662,1.048,0.955,0.949
839,work,1395.473,440.164,1197.195,139.772,43.237,41.094,32.877,0.898,46.535,275,776,156.801,41.837,1.052,0.950,0.942
840,work,1057.106,621.348,1196.478,126.656,38.159,35.272,1.180,0.828,41.132,393,780,164.932,36.662,1.082,0.924,0.929
841,work,1316.131,985.111,1201.543,133.291,41.379,40.497,143.817,0.931,44.537,632,780,149.036,39.718,1.022,0.979,0.956
842,work,1171.450,1207.179,1200.062,126.810,39.125,38.122,152.377,0.915,41.723,778,779,156.251,38.190,1.026,0.974,0.950
843,work,1157.449,1293.084,1200.399,129.711,39.749,37.076,16.778,0.864,42.554,834,792,21.038,38.190,1.072,0.933,0.927
844,work,987.099,1376.840,1203.149,116.749,36.456,34.475,10.523,0.910,39.718,890,795,22.620,35.135,1.057,0.946,0.948
845,work,1374.471,708.067,1205.626,139.030,42.986,40.712,168.126,0.894,45.955,449,785,158.552,39.718,1.056,0.947,0.944
846,work,1197.119,1124.778,1206.932,128.970,40.646,37.500,179.210,0.904,42.472,725,782,142.306,36.662,1.084,0.923,0.953
