Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
1,79,526.660,395.130,358,366,65.276,66.885,23.537,17.000,0,21.350,23.000,17.000,1.353,5.484,11.902,0.488,1,0.978,0,1.000,0.158,174.712,1.398,0.948
1,80,289.265,399.179,320,328,60.928,62.059,20.616,18.000,0,20.185,20.000,18.000,1.111,5.252,11.601,0.328,1,0.976,0,1.000,0.148,96.950,1.386,0.954
1,81,459.543,402.471,424,436,71.648,72.666,24.698,21.213,0,23.235,23.707,21.932,1.081,5.918,12.107,0.316,1,0.972,0,1.000,0.140,128.536,1.468,0.959
1,82,494.685,404.314,289,298,58.476,59.097,20.248,17.600,0,19.182,18.788,17.889,1.050,4.942,11.832,0.348,1,0.970,0,1.000,0.132,56.149,1.356,0.951
1,83,316.194,406.017,426,434,71.848,73.659,25.000,19.000,0,23.289,23.000,19.000,1.211,5.929,12.118,0.406,1,0.982,0,1.000,0.158,3.123,1.453,0.949
1,84,417.742,408.034,297,303,59.032,59.851,20.396,17.000,0,19.446,20.000,17.000,1.176,5.031,11.733,0.380,1,0.980,0,1.000,0.139,88.885,1.344,0.954
1,85,511.928,416.677,395,406,68.184,69.209,22.472,21.000,0,22.426,22.000,21.000,1.048,5.793,11.770,0.151,1,0.973,0,1.000,0.142,129.813,1.453,0.950
1,86,282.402,425.538,420,430,70.964,71.726,24.083,21.000,0,23.125,22.000,21.000,1.048,5.918,11.990,0.155,1,0.977,0,1.000,0.133,28.260,1.474,0.948
1,87,483.675,425.236,358,366,64.720,66.129,22.472,20.000,0,21.350,20.000,20.000,1.000,5.532,11.700,0.302,1,0.978,0,1.000,0.153,57.163,1.422,0.953
1,88,348.329,428.089,431,443,71.748,72.837,24.739,20.000,0,23.426,24.000,20.000,1.200,6.007,11.944,0.414,1,0.973,0,1.000,0.142,81.066,1.480,0.963
1,89,366.390,428.539,256,261,55.340,57.095,20.125,14.000,0,18.054,19.000,14.000,1.357,4.626,11.963,0.494,1,0.981,0,1.000,0.167,91.334,1.314,0.932
1,90,618.590,429.428,336,345,62.824,63.773,20.881,19.000,0,20.684,20.000,19.000,1.053,5.348,11.747,0.201,1,0.974,0,1.000,0.142,2.794,1.393,0.954
1,91,316.356,433.403,424,436,71.420,71.800,24.083,21.820,0,23.235,23.087,22.136,1.043,5.937,12.030,0.250,1,0.972,0,1.000,0.117,147.096,1.477,0.948
1,92,422.340,433.657,457,465,72.760,74.534,25.000,22.000,0,24.122,24.000,22.000,1.091,6.281,11.584,0.300,1,0.983,0,1.000,0.157,111.825,1.493,0.957
1,93,517.476,445.661,425,435,70.408,71.947,24.413,21.000,0,23.262,22.000,21.000,1.048,6.036,11.664,0.250,1,0.977,0,1.000,0.153,116.641,1.467,0.949
1,94,489.234,450.775,416,425,69.852,71.014,23.601,21.000,0,23.015,22.000,21.000,1.048,5.955,11.729,0.181,1,0.979,0,1.000,0.145,173.776,1.469,0.949
1,95,603.670,451.470,374,384,66.388,67.774,23.022,19.000,0,21.822,21.000,19.000,1.105,5.634,11.784,0.335,1,0.974,0,1.000,0.152,103.152,1.427,0.952
1,96,630.343,451.299,347,353,62.824,64.703,21.471,19.000,0,21.019,20.000,19.000,1.053,5.523,11.374,0.207,1,0.983,0,1.000,0.165,165.068,1.406,0.953
1,97,453.039,458.845,419,426,69.296,71.427,24.042,20.000,0,23.097,23.000,20.000,1.150,6.047,11.460,0.359,1,0.984,0,1.000,0.166,87.387,1.458,0.949
1,98,413.441,462.263,468,478,74.428,75.740,25.710,21.000,0,24.411,25.000,21.000,1.190,6.288,11.837,0.390,1,0.979,0,1.000,0.146,174.754,1.503,0.965
1,99,546.838,463.023,450,459,72.860,74.081,24.839,22.000,0,23.937,22.000,22.000,1.000,6.176,11.797,0.168,1,0.980,0,1.000,0.145,46.158,1.487,0.947
1,100,305.096,465.269,446,461,73.316,74.083,25.632,22.000,0,23.830,24.000,22.000,1.091,6.083,12.052,0.358,1,0.967,0,1.000,0.132,114.104,1.494,0.962
1,101,666.323,468.214,401,410,68.512,69.853,23.022,21.000,0,22.596,21.000,21.000,1.000,5.853,11.705,0.138,1,0.978,0,1.000,0.150,115.837,1.454,0.950
1,102,642.495,473.714,410,424,70.080,70.648,23.537,20.798,0,22.848,23.000,21.000,1.095,5.850,11.979,0.327,1,0.967,0,1.000,0.126,100.528,1.461,0.949
1,103,688.378,476.255,339,346,62.824,64.168,21.378,18.000,0,20.776,21.000,18.000,1.167,5.396,11.643,0.329,1,0.980,0,1.000,0.153,175.055,1.400,0.953
1,104,571.314,481.252,381,392,67.172,68.319,23.022,20.000,0,22.025,21.000,20.000,1.050,5.672,11.843,0.235,1,0.972,0,1.000,0.146,121.399,1.434,0.952
1,105,357.077,483.384,368,380,66.288,67.106,21.954,20.616,0,21.646,21.587,20.616,1.047,5.552,11.940,0.188,1,0.968,0,1.000,0.136,176.740,1.433,0.952
1,106,500.888,485.375,413,418,69.296,70.885,24.352,20.000,0,22.931,23.000,20.000,1.150,5.960,11.627,0.379,1,0.988,0,1.000,0.155,79.421,1.459,0.949
1,107,601.902,501.008,490,501,75.996,77.268,25.554,24.000,0,24.978,24.000,24.000,1.000,6.448,11.787,0.210,1,0.978,0,1.000,0.145,61.968,1.514,0.965
1,108,685.487,500.876,335,340,62.040,63.808,21.190,18.000,0,20.653,20.000,18.000,1.111,5.400,11.489,0.305,1,0.985,0,1.000,0.163,92.007,1.387,0.954
1,109,563.412,502.255,393,403,67.956,69.187,23.409,20.000,0,22.369,22.000,20.000,1.100,5.783,11.751,0.291,1,0.975,0,1.000,0.147,170.992,1.454,0.950
1,110,659.193,505.196,358,366,64.720,66.192,23.087,18.000,0,21.350,22.000,18.000,1.222,5.532,11.700,0.428,1,0.978,0,1.000,0.155,84.774,1.420,0.951
1,111,520.439,510.933,307,314,60.144,62.048,21.095,17.000,0,19.771,20.000,17.000,1.176,5.104,11.783,0.409,1,0.978,0,1.000,0.167,102.168,1.357,0.953
1,112,536.374,511.752,259,262,55.340,57.346,20.881,13.000,0,18.160,20.000,13.000,1.538,4.680,11.824,0.580,1,0.989,0,1.000,0.173,89.056,1.317,0.933
1,113,702.295,513.481,357,369,64.720,66.059,22.804,19.677,0,21.320,20.000,20.000,1.000,5.516,11.733,0.351,1,0.967,0,1.000,0.152,40.829,1.412,0.953
1,114,480.245,515.386,312,320,60.372,61.439,20.616,18.000,0,19.931,20.000,18.000,1.111,5.168,11.682,0.362,1,0.975,0,1.000,0.147,92.566,1.380,0.955
1,115,501.606,518.417,388,399,68.284,69.916,25.060,19.000,0,22.226,22.000,19.000,1.158,5.682,12.017,0.393,1,0.972,0,1.000,0.157,106.673,1.432,0.951
1,116,324.161,524.808,334,339,62.368,64.365,21.954,17.000,0,20.622,20.000,17.000,1.176,5.355,11.646,0.396,1,0.985,0,1.000,0.168,87.653,1.376,0.951
1,117,415.507,526.215,397,403,67.728,69.809,23.324,19.000,0,22.483,22.000,19.000,1.158,5.862,11.554,0.364,1,0.985,0,1.000,0.166,82.114,1.441,0.951
1,118,735.618,528.222,437,449,71.976,72.974,24.515,21.000,0,23.588,24.000,21.000,1.143,6.071,11.855,0.328,1,0.973,0,1.000,0.139,79.513,1.475,0.963
1,119,677.777,530.369,435,448,72.204,72.668,24.413,21.911,0,23.534,23.707,21.932,1.081,6.025,11.985,0.320,1,0.971,0,1.000,0.121,133.546,1.479,0.947
1,120,597.742,529.001,352,356,63.708,65.714,22.472,18.000,0,21.170,20.000,18.000,1.111,5.525,11.530,0.317,1,0.989,0,1.000,0.167,167.681,1.407,0.953
1,121,300.662,531.294,389,399,67.628,68.592,22.561,21.000,0,22.255,22.000,21.000,1.048,5.752,11.757,0.244,1,0.975,0,1.000,0.140,1.475,1.449,0.951
1,122,122.295,533.103,426,435,70.964,72.527,24.698,20.000,0,23.289,23.000,20.000,1.150,6.003,11.821,0.308,1,0.979,0,1.000,0.154,6.122,1.466,0.949
1,123,345.979,534.814,491,501,76.324,77.381,26.249,23.000,0,25.003,24.000,23.000,1.043,6.433,11.864,0.280,1,0.980,0,1.000,0.139,32.054,1.509,0.960
1,124,705.232,536.015,429,435,70.408,72.208,24.207,21.000,0,23.371,22.000,21.000,1.048,6.093,11.555,0.250,1,0.986,0,1.000,0.159,66.809,1.471,0.948
1,125,374.883,537.437,341,349,62.824,63.956,20.809,19.000,0,20.837,20.000,19.000,1.053,5.428,11.574,0.184,1,0.977,0,1.000,0.147,5.088,1.394,0.954
1,126,489.161,543.566,391,399,67.728,69.106,23.601,20.000,0,22.312,21.000,20.000,1.050,5.773,11.732,0.301,1,0.980,0,1.000,0.151,107.707,1.443,0.951
1,127,263.127,545.091,417,430,70.636,71.031,23.431,22.000,0,23.042,22.000,22.000,1.000,5.904,11.965,0.151,1,0.970,0,1.000,0.118,119.062,1.468,0.948
1,128,508.217,544.390,278,282,56.680,58.439,19.925,15.000,0,18.814,19.000,15.000,1.267,4.905,11.556,0.452,1,0.986,0,1.000,0.166,86.559,1.337,0.929
1,129,203.501,547.032,433,444,71.420,72.314,23.601,22.000,0,23.480,23.000,22.000,1.045,6.063,11.780,0.210,1,0.975,0,1.000,0.137,28.602,1.481,0.947
1,130,152.527,548.436,360,369,64.720,65.917,21.954,19.000,0,21.409,21.000,19.000,1.105,5.562,11.635,0.325,1,0.976,0,1.000,0.148,82.551,1.413,0.953
1,131,399.030,552.470,468,482,74.656,75.452,25.318,22.000,0,24.411,25.000,22.000,1.136,6.269,11.909,0.326,1,0.971,0,1.000,0.132,97.986,1.508,0.964
1,132,423.602,552.132,298,303,58.476,59.591,19.925,17.889,0,19.479,19.000,18.000,1.056,5.096,11.475,0.297,1,0.983,0,1.000,0.149,26.945,1.361,0.956
1,133,77.297,556.896,326,334,61.712,62.837,21.633,18.336,0,20.373,20.000,19.000,1.053,5.283,11.682,0.403,1,0.976,0,1.000,0.148,131.424,1.381,0.954
1,134,447.607,557.488,368,376,65.832,66.845,22.804,19.000,0,21.646,21.000,19.000,1.105,5.590,11.777,0.332,1,0.979,0,1.000,0.142,73.392,1.416,0.952
1,135,724.625,562.454,578,597,85.476,85.822,30.806,22.071,0,27.128,29.833,21.587,1.382,6.762,12.640,0.517,1,0.968,0,0.994,0.112,71.334,1.571,0.964
1,136,472.486,559.489,352,356,63.152,65.446,21.633,19.000,0,21.170,19.000,19.000,1.000,5.574,11.330,0.103,1,0.989,0,1.000,0.173,27.347,1.394,0.953
1,137,123.055,561.300,343,352,63.380,64.288,21.401,19.000,0,20.898,20.000,19.000,1.053,5.412,11.711,0.262,1,0.974,0,1.000,0.140,169.479,1.401,0.954
1,138,180.339,562.885,417,429,70.408,71.264,24.083,21.000,0,23.042,22.000,21.000,1.048,5.923,11.888,0.245,1,0.972,0,1.000,0.136,111.682,1.463,0.949
1,139,669.343,572.557,516,524,78.220,79.632,27.659,22.808,0,25.632,25.000,23.000,1.087,6.597,11.857,0.384,1,0.985,0,1.000,0.147,62.152,1.524,0.964
1,140,698.727,575.382,543,560,80.900,81.786,27.459,24.000,0,26.294,26.000,24.000,1.083,6.712,12.053,0.311,1,0.970,0,1.000,0.133,100.372,1.558,0.966
1,141,429.921,577.806,499,509,78.220,79.283,28.284,20.000,0,25.206,28.000,20.000,1.400,6.379,12.261,0.515,1,0.980,0,1.000,0.139,94.537,1.524,0.963
1,142,219.925,576.580,425,432,70.080,71.647,23.854,21.920,0,23.262,22.000,22.000,1.000,6.064,11.556,0.260,1,0.984,0,1.000,0.154,36.114,1.474,0.948
1,143,748.049,576.628,349,357,63.936,65.220,22.136,18.000,0,21.080,21.000,18.000,1.167,5.459,11.713,0.348,1,0.978,0,1.000,0.151,91.279,1.405,0.952
1,144,498.552,592.738,414,426,70.864,71.234,24.739,21.000,0,22.959,23.087,21.190,1.090,5.842,12.130,0.378,1,0.972,0,1.000,0.117,79.042,1.470,0.960
1,145,536.351,597.776,357,366,65.276,66.350,22.847,18.000,0,21.320,22.000,18.000,1.222,5.469,11.935,0.429,1,0.975,0,1.000,0.144,86.616,1.422,0.952
1,146,202.561,598.478,387,395,67.400,68.373,22.204,21.000,0,22.198,21.000,21.000,1.000,5.742,11.738,0.102,1,0.980,0,1.000,0.141,54.647,1.450,0.951
1,147,718.006,598.176,233,242,53.344,54.402,18.974,15.693,0,17.224,17.692,16.971,1.042,4.368,12.213,0.439,1,0.963,0,1.000,0.150,101.907,1.283,0.951
1,148,517.678,602.880,317,325,60.928,61.990,20.881,17.948,0,20.090,20.000,18.000,1.111,5.203,11.710,0.373,1,0.975,0,1.000,0.146,105.334,1.371,0.955
1,149,663.853,602.523,312,320,60.144,61.508,21.190,17.000,0,19.931,20.000,17.000,1.176,5.188,11.594,0.399,1,0.975,0,1.000,0.155,163.387,1.356,0.953
1,150,734.422,607.730,402,419,70.964,71.605,24.083,21.000,0,22.624,22.000,21.000,1.048,5.665,12.527,0.295,1,0.959,0,1.000,0.128,81.141,1.465,0.949
1,151,702.998,610.390,426,435,70.636,72.091,24.187,22.000,0,23.289,22.000,22.000,1.000,6.031,11.712,0.168,1,0.979,0,1.000,0.151,64.826,1.471,0.948
1,152,443.419,612.228,491,499,76.096,77.850,26.571,21.000,0,25.003,25.000,21.000,1.190,6.452,11.793,0.396,1,0.984,0,1.000,0.155,87.275,1.509,0.963
1,153,477.728,610.539,442,452,71.976,73.314,24.739,21.000,0,23.723,24.000,21.000,1.143,6.141,11.721,0.347,1,0.978,0,1.000,0.148,163.914,1.480,0.963
1,154,650.449,641.788,338,344,63.052,64.005,21.378,19.000,0,20.745,21.000,19.000,1.105,5.361,11.762,0.264,1,0.983,0,1.000,0.142,100.719,1.398,0.953
1,155,584.173,649.062,391,398,67.172,68.976,23.601,20.000,0,22.312,21.000,20.000,1.050,5.821,11.540,0.299,1,0.982,0,1.000,0.161,151.422,1.443,0.951
1,156,612.328,671.779,426,441,72.204,72.465,25.554,21.079,0,23.289,22.825,21.024,1.086,5.900,12.238,0.399,1,0.966,0,1.000,0.110,34.233,1.485,0.961
1,157,575.577,673.779,330,338,62.268,63.074,21.401,19.000,0,20.498,20.000,19.000,1.053,5.300,11.749,0.315,1,0.976,0,1.000,0.138,53.244,1.384,0.955
1,158,551.333,679.388,313,318,59.588,61.297,20.248,18.000,0,19.963,19.000,18.000,1.056,5.253,11.344,0.226,1,0.984,0,1.000,0.163,152.226,1.371,0.955
1,159,604.276,702.975,359,369,65.276,66.017,22.023,20.000,0,21.380,20.000,20.000,1.000,5.500,11.869,0.187,1,0.973,0,1.000,0.134,128.791,1.417,0.953
1,160,581.432,714.279,428,440,71.192,72.176,24.413,21.000,0,23.344,23.000,21.000,1.095,6.012,11.842,0.340,1,0.973,0,1.000,0.139,73.119,1.471,0.948
