Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
1,869,988.612,1249.010,1521.583,1561.256,135.869,136.671,45.420,42.028,0,44.015,43.478,41.557,1.046,11.199,12.132,0.231,1,0.975,0,1.000,0.119,135.829,1.615,0.965
1,870,433.746,1249.381,1379.226,1407.231,128.530,130.333,43.235,38.191,0,41.906,41.247,38.191,1.080,10.731,11.978,0.256,1,0.980,0,1.000,0.140,168.956,1.584,0.966
1,871,704.200,1254.955,1225.201,1250.872,119.841,121.999,40.331,36.664,0,39.497,38.191,36.664,1.042,10.224,11.722,0.248,1,0.979,0,1.000,0.147,114.068,1.547,0.967
1,872,1127.217,1255.516,1295.212,1327.884,124.436,125.948,41.557,38.191,0,40.609,38.191,38.191,1.000,10.409,11.955,0.156,1,0.975,0,1.000,0.136,123.435,1.561,0.966
1,873,792.653,1254.792,1201.864,1222.867,118.295,121.491,40.331,35.136,0,39.119,36.664,35.136,1.043,10.160,11.643,0.226,1,0.983,0,1.000,0.161,10.345,1.526,0.963
1,874,902.534,1263.111,1624.266,1656.938,139.267,141.243,46.562,42.774,0,45.476,42.774,42.774,1.000,11.663,11.941,0.086,1,0.980,0,1.000,0.140,16.015,1.635,0.965
1,875,122.289,1265.380,1362.890,1381.560,126.135,129.633,43.772,36.664,0,41.657,39.719,36.664,1.083,10.805,11.674,0.285,1,0.986,0,1.000,0.162,0.935,1.579,0.966
1,876,1038.278,1266.855,1430.568,1456.239,130.730,133.283,44.407,38.191,0,42.679,39.719,38.191,1.040,10.943,11.947,0.182,1,0.982,0,1.000,0.150,65.064,1.591,0.966
1,877,1335.775,1265.796,1295.212,1320.883,123.587,125.460,41.275,38.191,0,40.609,38.191,38.191,1.000,10.480,11.792,0.144,1,0.981,0,1.000,0.142,148.929,1.558,0.966
1,878,1466.931,1266.103,1372.225,1402.563,127.180,129.295,42.253,39.719,0,41.799,41.247,39.719,1.038,10.790,11.787,0.196,1,0.978,0,1.000,0.145,172.971,1.577,0.966
1,879,1248.960,1269.925,1327.884,1353.555,126.483,129.128,46.185,36.664,0,41.118,41.247,36.664,1.125,10.498,12.048,0.393,1,0.981,0,1.000,0.152,120.780,1.572,0.966
