 ,Label,Area,Mean,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,work,341,255,255,255,255,18.867,16.614,18.867,16.614,75.255,10,3,19,27,26.378,16.460,75.059,0.757,1.603,0.624,0.905
2,work,285,255,255,255,255,197.711,16.258,197.711,16.258,62.184,189,6,18,21,20.458,17.738,70.284,0.926,1.153,0.867,0.938
3,work,278,255,255,255,255,219.288,28.295,219.288,28.295,63.941,211,17,17,22,22.171,15.965,85.153,0.854,1.389,0.720,0.919
4,work,231,255,255,255,255,45.080,26.591,45.080,26.591,55.698,37,18,16,18,18.316,16.058,79.994,0.936,1.141,0.877,0.941
5,work,501,255,255,255,255,174.438,33.692,174.438,33.692,82.669,162,21,25,26,26.184,24.362,71.852,0.921,1.075,0.930,0.948
6,work,660,255,255,255,255,73.805,41.779,73.805,41.779,98.326,59,26,28,31,33.520,25.070,57.641,0.858,1.337,0.748,0.952
7,work,228,255,255,255,255,233.592,47.645,233.592,47.645,55.698,225,39,16,18,18.208,15.943,92.820,0.924,1.142,0.876,0.940
8,work,448,255,255,255,255,138.969,55.246,138.969,55.246,78.426,128,42,22,26,26.243,21.736,96.428,0.915,1.207,0.828,0.947
9,work,401,255,255,255,255,195.153,59.767,195.153,59.767,87.497,184,43,21,33,35.718,14.294,67.394,0.658,2.499,0.400,0.890
10,work,520,255,255,255,255,28.848,57.998,28.848,57.998,84.669,17,44,24,28,27.975,23.667,71.086,0.912,1.182,0.846,0.952
11,work,425,255,255,255,255,99.432,73.644,99.432,73.644,77.841,89,60,20,27,28.018,19.314,71.220,0.881,1.451,0.689,0.953
12,work,271,255,255,255,255,214.666,71.094,214.666,71.094,62.184,206,60,17,22,21.564,16.001,72.699,0.881,1.348,0.742,0.922
13,work,159,255,255,255,255,168.022,73.211,168.022,73.211,46.284,162,65,13,16,15.748,12.856,70.553,0.933,1.225,0.816,0.930
14,work,412,255,255,255,255,64.330,84.393,64.330,84.393,75.598,53,73,22,24,24.085,21.780,99.224,0.906,1.106,0.904,0.945
15,work,426,255,255,255,255,130.272,84.110,130.272,84.110,87.497,117,75,30,21,31.332,17.311,17.588,0.699,1.810,0.553,0.869
16,work,260,255,255,255,255,34.188,86.592,34.188,86.592,59.941,25,77,18,19,19.541,16.941,87.838,0.909,1.153,0.867,0.932
17,work,289,255,255,255,255,223.054,95.324,223.054,95.324,62.770,213,85,19,20,20.402,18.035,62.012,0.922,1.131,0.884,0.935
18,work,676,255,255,255,255,175.286,99.583,175.286,99.583,104.326,157,87,34,27,35.721,24.095,166.249,0.780,1.483,0.675,0.909
19,work,361,255,255,255,255,103.320,111.863,103.320,111.863,70.184,92,102,23,20,23.700,19.394,172.832,0.921,1.222,0.818,0.945
20,work,545,255,255,255,255,37.557,122.731,37.557,122.731,86.912,25,108,24,30,29.151,23.805,79.568,0.907,1.225,0.817,0.949
21,work,337,255,255,255,255,131.349,121.438,131.349,121.438,72.770,122,109,18,26,24.773,17.321,78.509,0.800,1.430,0.699,0.906
