 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1070,1040.771,255,255,255,140.142,39.639,33.430,104.689,0.666,1.186,0.843,0.857
1071,308.031,255,255,255,72.340,22.319,17.572,95.530,0.740,1.270,0.787,0.822
1072,1414.141,255,255,255,142.827,42.860,42.010,9.825,0.871,1.020,0.980,0.938
1073,1288.129,255,255,255,134.032,41.194,39.814,131.099,0.901,1.035,0.967,0.938
1074,77.008,255,255,255,32.930,12.170,8.057,152.992,0.892,1.510,0.662,0.857
1075,1159.782,255,255,255,127.551,41.027,35.993,121.989,0.896,1.140,0.877,0.928
1076,550.722,255,255,255,94.992,30.794,22.770,92.392,0.767,1.352,0.739,0.869
1077,1159.782,255,255,255,125.915,39.312,37.563,20.193,0.919,1.047,0.955,0.951
1078,1099.110,255,255,255,126.656,38.000,36.827,179.500,0.861,1.032,0.969,0.932
1079,1334.800,255,255,255,136.346,41.404,41.047,117.293,0.902,1.009,0.991,0.947
1080,207.687,255,255,255,57.742,23.332,11.334,83.981,0.783,2.059,0.486,0.894
1081,387.372,255,255,255,75.919,27.905,17.675,123.847,0.845,1.579,0.633,0.917
1082,994.099,255,255,255,115.854,35.852,35.304,2.218,0.931,1.016,0.985,0.951
1083,1059.439,255,255,255,121.440,37.960,35.535,176.314,0.903,1.068,0.936,0.934
1084,1295.129,255,255,255,136.346,43.556,37.860,155.768,0.875,1.150,0.869,0.936
1085,203.020,255,255,255,56.476,20.580,12.560,18.769,0.800,1.638,0.610,0.906
1086,228.689,255,255,255,65.488,18.451,15.781,97.971,0.670,1.169,0.855,0.831
1087,1262.459,255,255,255,133.137,40.654,39.539,135.139,0.895,1.028,0.973,0.945
1088,1099.110,255,255,255,123.384,39.287,35.621,39.462,0.907,1.103,0.907,0.949
1089,739.740,255,255,255,107.213,34.838,27.036,157.108,0.809,1.289,0.776,0.907
1090,221.689,255,255,255,56.847,21.526,13.112,104.014,0.862,1.642,0.609,0.913
1091,1463.146,255,255,255,141.561,44.888,41.502,156.873,0.918,1.082,0.925,0.952
1092,1073.440,255,255,255,124.496,38.609,35.400,113.408,0.870,1.091,0.917,0.926
